Date,02D001_Cl (ppm wt.),02D001_H2S (ppm wt.),02D001_Hydrogen Sulfide (ppm wt.),02D001_pH @25oC,02D001_Sulfide (ppm wt.),02D001_Total Iron (ppm),
21/01/2019,19.27,,,8.08,,0.24,
21/01/2019,9.33,,,,,,
22/01/2019,10.22,,,8.21,,,
23/01/2019,20.31,,,5.22,,2.59,
23/01/2019,36.81,,,,,6.54,
24/01/2019,29.60,,,5.19,,,
24/01/2019,,,,,,2.20,
24/01/2019,21.64,,,7.80,,0.30,
25/01/2019,16.37,,,8.04,,,
25/01/2019,19.24,,,8.06,,0.16,
26/01/2019,22.18,,,7.09,,,
26/01/2019,16.96,,,,,1.29,
27/01/2019,16.08,,,7.07,,,
27/01/2019,,,,,,0.46,
29/01/2019,168,,,3.82,,,
29/01/2019,,,,,,74.70,
29/01/2019,39.19,,,,,,
30/01/2019,30.40,,,,,,
30/01/2019,34.90,,,7.17,,1.53,
30/01/2019,28.25,,,6.93,,1.73,
30/01/2019,26.32,,,,,1.16,
31/01/2019,21.11,,,,,0.92,
31/01/2019,18.11,,,8.12,,,
31/01/2019,,,,,,0.59,
31/01/2019,16.75,,,,,0.45,
1/02/2019,40.98,,,5.90,,,
1/02/2019,16.88,,,7.50,,1.97,
2/02/2019,5.04,,,7.55,,,
2/02/2019,,,,,,0.28,
3/02/2019,1,,,8.41,,,
4/02/2019,8.90,,,7.98,,0.22,
4/02/2019,16.90,,,,,0.31,
5/02/2019,,,,,,0.06,
5/02/2019,18.18,,,8.20,,,
5/02/2019,21.89,,,,,0.02,
5/02/2019,29.60,,,,,0.17,
6/02/2019,10.86,,,8.22,,2.08,
6/02/2019,1,,,8.01,,0.23,
7/02/2019,38.46,,,8.70,,,
7/02/2019,5.04,,,7.94,,0.09,
8/02/2019,2.80,,,8.11,,,
9/02/2019,7.65,,,7.91,,,
9/02/2019,,,,,,0.02,
10/02/2019,3.38,,,7.78,,,
11/02/2019,36.35,,,7.31,,0.16,
11/02/2019,35.85,,,,,,
12/02/2019,31.86,,,5.58,,,
12/02/2019,41.70,,,,,0.80,
12/02/2019,51.28,,,7.92,,0.32,
13/02/2019,13.68,,,8.00,,0.03,
13/02/2019,1,,,7.64,,0.05,
14/02/2019,13.88,,,7.80,,,
14/02/2019,19.37,,,7.75,,,
14/02/2019,29.37,,,7.74,,0.02,
15/02/2019,17.60,,,7.79,,,
16/02/2019,1,,,7.93,,,
16/02/2019,,,,,,0.16,
17/02/2019,5.95,,,7.85,,,
18/02/2019,5.46,,,7.55,,0.02,
19/02/2019,8.24,,,7.69,,,
20/02/2019,31.15,,,5.53,,1.77,
20/02/2019,26.72,,,,,0.02,
21/02/2019,28.16,,,5.27,,,
21/02/2019,33.43,,,,,,
21/02/2019,26.41,,,,,,
22/02/2019,35.48,,,7.58,,,
22/02/2019,24.43,,,,,,
23/02/2019,27.91,,,7.43,,,
23/02/2019,28.60,,,7.38,,0.22,
24/02/2019,33.58,,,7.25,,,
24/02/2019,52.90,,,7.13,,0.57,
25/02/2019,23.04,,,7.67,,0.11,
26/02/2019,25.18,,,7.78,,,
26/02/2019,39.26,,,,,,
27/02/2019,55.00,,,5.34,,2.64,
27/02/2019,45.06,,,,,0.02,
28/02/2019,9.76,,,8.08,,,
1/03/2019,,,,,,0.07,
1/03/2019,4.17,,,7.08,,,
2/03/2019,4.24,,,7.06,,,
3/03/2019,8.23,,,7.18,,,
3/03/2019,,,,,,0.34,
4/03/2019,10.36,,,6.59,,0.68,
5/03/2019,11.20,,,5.81,,,
