PI-020103.PV_Timestamp_0,"PI-020103.PV
Value","PI-020103.PV
Confidence"
2/7/2018,0.88,100
2/7/2018,0.88,100
2/7/2018,0.88,100
2/7/2018,0.89,100
2/7/2018,0.88,100
2/7/2018,0.89,100
2/8/2018,0.88,100
2/8/2018,0.89,100
2/8/2018,0.86,100
2/8/2018,0.88,100
2/8/2018,0.87,100
2/8/2018,0.88,100
2/8/2018,0.88,100
2/8/2018,0.88,100
2/8/2018,0.89,100
2/8/2018,0.89,100
2/8/2018,0.89,100
2/8/2018,0.89,100
2/8/2018,0.89,100
2/8/2018,0.89,100
2/8/2018,0.89,100
2/8/2018,0.9,100
2/8/2018,0.91,100
2/8/2018,0.91,100
2/8/2018,0.9,100
2/8/2018,0.89,100
2/8/2018,0.91,100
2/8/2018,0.9,100
2/8/2018,0.88,100
2/8/2018,0.93,100
2/9/2018,0.91,100
2/9/2018,0.87,100
2/9/2018,0.89,100
2/9/2018,0.86,100
2/9/2018,0.86,100
2/9/2018,0.88,100
2/9/2018,0.88,100
2/9/2018,0.87,100
2/9/2018,0.88,100
2/9/2018,0.9,100
2/9/2018,0.89,100
2/9/2018,0.89,100
2/9/2018,0.89,100
2/9/2018,0.9,100
2/9/2018,0.89,100
2/9/2018,0.9,100
2/9/2018,0.9,100
2/9/2018,0.9,100
2/9/2018,0.91,100
2/9/2018,0.91,100
2/9/2018,0.91,100
2/9/2018,0.91,100
2/9/2018,0.9,100
2/9/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.89,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.91,100
2/10/2018,0.91,100
2/10/2018,0.91,100
2/10/2018,0.91,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/10/2018,0.9,100
2/11/2018,0.9,100
2/11/2018,0.9,100
2/11/2018,0.9,100
2/11/2018,0.9,100
2/11/2018,0.9,100
2/11/2018,0.9,100
2/11/2018,0.9,100
2/11/2018,0.91,100
2/11/2018,0.9,100
2/11/2018,0.9,100
2/11/2018,0.92,100
2/11/2018,0.89,100
2/11/2018,0.86,100
2/11/2018,0.91,100
2/11/2018,0.9,100
2/11/2018,0.88,100
2/11/2018,0.92,100
2/11/2018,0.92,100
2/11/2018,1.02,100
2/11/2018,1.01,100
2/11/2018,0.99,100
2/11/2018,0.99,100
2/11/2018,0.99,100
2/11/2018,0.98,100
2/12/2018,0.97,100
2/12/2018,1.01,100
2/12/2018,1,100
