Date,02D002_Cl (ppm wt.),02D002_H2S (ppm wt.),02D002_pH @25oC,02D002_Sulfide (ppm wt.),,,,,,,,,
11/2/21,1,3.3,6.53,,,,,,,,,,
16/2/21,1,1,6.62,,,,,,,,,,
18/2/21,1,1,7.36,,,,,,,,,,
23/2/21,1,1.4,7.17,,,,,,,,,,
25/2/21,1,1.5,6.67,,,,,,,,,,
2/3/21,1,11.8,6.79,,,,,,,,,,
4/3/21,1,2.6,6.66,,,,,,,,,,
9/3/21,1.12,3.0,6.60,,,,,,,,,,
11/3/21,1,2.4,6.97,,,,,,,,,,
16/3/21,1,1,6.74,,,,,,,,,,
18/3/21,1,1.1,7.22,,,,,,,,,,
8/4/21,1,2.2,7.00,,,,,,,,,,
20/4/21,1,2.0,6.86,,,,,,,,,,
22/4/21,1,1,8.92,,,,,,,,,,
27/4/21,1,5.2,6.99,,,,,,,,,,
29/4/21,1,1.6,7.21,,,,,,,,,,
6/5/21,1,3.2,6.88,,,,,,,,,,
11/5/21,1,1.2,8.25,,,,,,,,,,
13/5/21,1,2.2,7.63,,,,,,,,,,
18/5/21,1.86,2.1,7.32,,,,,,,,,,
20/5/21,14.29,5.3,6.99,,,,,,,,,,
25/5/21,1,,7.39,,,,,,,,,,
27/5/21,1,,7.23,,,,,,,,,,
1/6/21,1,,6.38,,,,,,,,,,
8/6/21,1,,7.18,,,,,,,,,,
10/6/21,1,,7.54,,,,,,,,,,
