Date,02D001_Cl,02D001_H2S,02D001_Hydrogen Sulfide,02D001_pH,02D001_Sulfide,02D001_Total_Iron
24/08/2018,7.13,0,0,7.81,0,0
25/08/2018,9.73,0,0,7.01,0,0
26/08/2018,9.66,0,0,7.94,0,0
27/08/2018,8.33,0,0,7.88,0,0.13
28/08/2018,6.7,0,0,8.04,0,0
29/08/2018,1,0,0,7.95,0,0.03
30/08/2018,8.29,0,0,7.87,0,0
31/08/2018,6.79,0,0,7.76,0,0
1/9/2018,7.44,0,0,7.61,0,0
2/9/2018,7.98,0,0,7.26,0,0
3/9/2018,9.3,0,0,7.81,0,0.07
4/9/2018,1,0,0,7.77,0,0
5/9/2018,1,0,0,7.89,0,1.79
6/9/2018,6.49,0,0,7.62,0,0
7/9/2018,6.49,0,0,7.87,0,0
8/9/2018,18.35,0,0,7.81,0,0
8/9/2018,2.47,0,0,7.93,0,0
9/9/2018,4.91,0,0,7.72,0,0
10/9/2018,8.21,0,0,7.74,0,0.14
10/9/2018,0,0,0,0,0,0
11/9/2018,6.74,0,0,7.81,0,0
12/9/2018,1,0,0,7.51,0,0.04
13/09/2018,1,0,0,7.66,0,0
14/09/2018,1,0,0,7.18,0,0
15/09/2018,6.71,0,0,6.96,0,0
16/09/2018,5.71,0,0,6.34,0,0
17/09/2018,2.43,0,0,7.17,0,0.31
18/09/2018,9.47,0,0,7.29,0,0
19/09/2018,1.85,0,0,7.18,0,0.5
20/09/2018,1,0,0,7.28,0,0
21/09/2018,1,0,0,7.74,0,0
22/09/2018,1,0,0,7.43,0,0
23/09/2018,4.52,0,0,6.84,0,0
24/09/2018,2.65,0,0,7.53,0,0.07
25/09/2018,1.03,0,0,6.76,0,0
26/09/2018,4.83,0,0,7.36,0,0.17
27/09/2018,8.92,0,0,7.18,0,0
28/09/2018,8.11,0,0,7.25,0,0
29/09/2018,9.04,0,0,6.14,0,0
30/09/2018,6.95,0,0,7.21,0,0
1/10/2018,2.15,0,0,7.44,0,0.23
2/10/2018,5.99,0,0,6.77,0,0
3/10/2018,8.06,0,0,6.76,0,0.48
4/10/2018,6.83,0,0,6.75,0,0
5/10/2018,7.92,0,0,7.1,0,0
6/10/2018,7.58,0,0,7.3,0,0
7/10/2018,5.98,0,0,7.73,0,0
8/10/2018,10.02,0,0,7.85,0,1.28
9/10/2018,8.05,0,0,7.98,0,0
10/10/2018,1.96,0,0,7.24,0,0.38
11/10/2018,7.72,0,0,7.62,0,0
12/10/2018,1.21,0,0,8.35,0,0
13/10/2018,1,0,0,7.73,0,0
14/10/2018,7.28,0,0,8.15,0,0
15/10/2018,5.09,0,0,8.07,0,0
16/10/2018,1.03,0,0,7.58,0,0
17/10/2018,1,0,0,7.51,0,0.02
18/10/2018,5.69,0,0,7.16,0,0
19/10/2018,1,0,0,7.12,0,0
20/10/2018,5.72,0,0,6.98,0,0
21/10/2018,12.61,0,0,5.88,0,0
21/10/2018,13.84,0,0,0,0,0
21/10/2018,14.73,0,0,0,0,0
22/10/2018,6.46,0,0,8.48,0,0.06
23/10/2018,5.45,0,0,7.28,0,0
